item_code,item_description,china_or_local,lead_time_days,total_sales,avg_daily_sales,stddev_qty,safety_stock,reorder_level,maximum_level
96MM 1001 CABINET DOOR HDL (SN),96MM 1001 CABINET DOOR HDL (SN),CHINA STOCK,45,4,0.0333,0.29,4,5,6
EH-S-W-M8-M,EH6300/6500 WHEEL W/SCREW,LOCAL STOCK,5,12,0.1,1.1,5,5,6
20-194 MULTIFUNCTION FILTER,20-194 MULTIFUNCTION FILTER,CHINA STOCK,45,6,0.05,0.22,3,5,6
20 X 2.0MM ACE,20x2MM ACE STEEL NAILS,LOCAL STOCK,5,20,0.1667,0.6,3,4,6
5X6X0.8 WHITE L-BRACKET,5 X 6 X 0.8 L-BRACKET,LOCAL STOCK,5,11,0.0917,0.92,4,4,6
TR852,PAINTERS TAPE 36MMx15M,LOCAL STOCK,5,19,0.1583,0.61,3,4,6
10X160MM SDS MINI H/D BIT-F,10X160MM MINI D/BIT - FLAT,LOCAL STOCK,5,24,0.2,0.56,3,4,6
500ML SCP SKIM CLOG REMOVER,500ML SCP CLOG REMOVER,LOCAL STOCK,5,20,0.1667,0.75,3,4,6
6MM JH JOBBER DRILL,6MM JH JOBBER DRILL,LOCAL STOCK,5,17,0.1417,0.73,3,4,6
6MM KNIGHT MULTI-FUNCTION,6MM M/FUNC DRILL BIT,LOCAL STOCK,5,23,0.1917,0.6,3,4,6
6X110MM SDS DRILL BIT,6 X 110MM SDS DRILL BIT,LOCAL STOCK,5,16,0.1333,0.78,3,4,6
109VT15,VT15 MOUSE TRAP,LOCAL STOCK,5,20,0.1667,0.76,3,4,6
NP38,"8# X 3"" NYLON PLUG NAIL",LOCAL STOCK,5,21,0.175,0.63,3,4,6
"7/8"" SCREW HOOK - GOLD COLOR","7/8"" GOLD SCREW HOOK",LOCAL STOCK,5,18,0.15,0.77,3,4,6
1202005053,T5 LED 13W 6500K 3',LOCAL STOCK,5,13,0.1083,0.92,4,4,6
70/80KM SPEED LIMIT LORRY STIC,70/80KM SPEED LIMIT STIC,LOCAL STOCK,5,11,0.0917,0.92,4,4,6
DS-PH416 - PACK,"PH416 8#X5/8"" S.D.SCREWS",LOCAL STOCK,5,20,0.1667,0.61,3,4,6
O01-PM-GOLD,OREX P/MARKER - GOLD,LOCAL STOCK,5,18,0.15,0.64,3,4,6
OBAPROOF PREMIX PLASTER 9921 3KG,OBAPROOF PREMIX PLASTER 9921 3KG,LOCAL STOCK,5,19,0.1583,0.77,3,4,6
VG3088,VAGO S/S ANGLE VALVE,LOCAL STOCK,5,19,0.1583,0.71,3,4,6
LEGRAND ELOE 13A S/SOC 618041,Legrand 13A S/SOCKET 618041,LOCAL STOCK,5,21,0.175,0.66,3,4,6
DS-FH432- PACK,"FH432 #8x1 1/4"" S.D.SCREW",LOCAL STOCK,5,20,0.1667,0.63,3,4,6
F2 SAMURAI FLAT,SAMURAI SPRAY PAINT F2,LOCAL STOCK,5,15,0.125,0.75,3,4,6
DRYWALL SCREWS (Z/P) #6X2,"ZP650 DRYWALL/S #6x2""",LOCAL STOCK,5,18,0.15,0.64,3,4,6
PCCH2,CH2 WIRE CONNECTOR,LOCAL STOCK,5,23,0.1917,0.57,3,4,6
"1/8"" X 1/2"" ACE B.RIVET","1/8"" X 1/2"" B.RIVET",LOCAL STOCK,5,17,0.1417,0.78,3,4,6
"KIZ 1/2"" BRASS/T PVC P/T ELBOW","1/2"" SYL B.PVC PT ELBOW",LOCAL STOCK,5,22,0.1833,0.62,3,4,6
PLF-120,T8 1x10W LED CASING 2',LOCAL STOCK,5,21,0.175,0.6,3,4,6
A23BP1G,ENERGIZER MINI AL A23 BP2,LOCAL STOCK,5,19,0.1583,0.62,3,4,6
"1/2""X1/2""X3' WWM","1/2""X1/2""X3' W.WIRE MESH",LOCAL STOCK,5,16,0.1333,0.76,3,4,6
PRESTIGE 10W E27 A60 LEDBULB 3,10W E27 A60 LED BULB 3000K,LOCAL STOCK,5,17,0.1417,0.81,3,4,6
"1 1/2"" ( 40MM ) UPVC P/T SOCKE","1 1/2"" UPVC P/T SOCKET",LOCAL STOCK,5,23,0.1917,0.57,3,4,6
25MM BUTE-PE ELBOW,25MM BUTE-PE ELBOW,LOCAL STOCK,5,17,0.1417,0.78,3,4,6
PRESTIGE ESSENTIAL 10W E27 300,10W E27 LED B.STICK 3000K,LOCAL STOCK,5,15,0.125,0.73,3,4,6
"2"" (50MM) UPVC PIPE SLEEVE","2"" UPVC PIPE SLEEVE",LOCAL STOCK,5,13,0.1083,0.86,4,4,6
32MMX4MTR PPRP-PN16(C)-FT,32 X 4M PPR PIPE-PN16(C),LOCAL STOCK,5,14,0.1167,0.83,4,4,6
"1/2"" FLEXIBLE HOSE WASHER","1/2"" FLEX/HOSE WASHER",LOCAL STOCK,5,22,0.1833,0.56,3,4,6
"1/2"" DOMINO PVC B.VALVE W/THRE","1/2"" PVC B.VALVE W/THREAD",LOCAL STOCK,5,18,0.15,0.72,3,4,6
SYW15,"SYW 1/2"" X 5"" ANCHOR",LOCAL STOCK,5,12,0.1,0.93,4,4,6
WELDING GLASS DARK,WELDING GLASS DARK,LOCAL STOCK,5,21,0.175,0.62,3,4,6
3203003343,110/0076x3C FLEX/WIRE(GRY),LOCAL STOCK,5,11,0.0917,0.92,4,4,6
PRESTIGE T8 56W 4' LED TUBE 65,T8 LED 56W 6500K 4',LOCAL STOCK,5,19,0.1583,0.76,3,4,6
1 X 2 X 10'  KAYU,1 X 2 X 10'  KAYU - BG,LOCAL STOCK,5,16,0.1333,0.81,3,4,6
"1/2"" (15MM)  PVC P/T TEE","1/2"" PVC P/T TEE",LOCAL STOCK,5,18,0.15,0.71,3,4,6
3120400,400 4' COTTON MOP,LOCAL STOCK,5,18,0.15,0.64,3,4,6
"1"" (25MM) PVC END CAP","1"" PVC END CAP",LOCAL STOCK,5,18,0.15,0.71,3,4,6
"PT2006LPR 6"" 18W 6500K - ROUND","2006LPR 6"" 18W 6500K ROUND",LOCAL STOCK,5,17,0.1417,0.7,3,4,6
HMTA 20.1/2,"20MM X 1/2"" HANSEN MTA",LOCAL STOCK,5,20,0.1667,0.6,3,4,6
1.05E+12,1.05E+12,LOCAL STOCK,5,21,0.175,0.63,3,4,6
FK-029,KIN INK LIQUID,LOCAL STOCK,5,22,0.1833,0.56,3,4,6
BUTANE GAS CARTRIDGE EUROGAS,BUTANE GAS CARTRIDGE 230G,LOCAL STOCK,5,17,0.1417,0.82,4,4,6
"1"" X 40Y OPP TAPE CLEAR","1"" X 40Y OPP TAPE CLEAR",LOCAL STOCK,5,15,0.125,0.74,3,4,6
"3/4"" (20MM) PVC CLASS 6 PIPE","3/4"" PVC CLASS 6 PIPE",LOCAL STOCK,5,21,0.175,0.62,3,4,6
STEEL HOSE CLIP 12-20MM,STEEL HOSE CLIP 12-20MM,LOCAL STOCK,5,15,0.125,0.88,4,4,6
"3"" (82MM) UPVC BEND","3"" UPVC BEND",LOCAL STOCK,5,20,0.1667,0.64,3,4,6
2808003125,13A BIG ROCKER S/SOC NEON WHT LAVINA,LOCAL STOCK,5,17,0.1417,0.8,3,4,6
"1-1/2"" X 45 (40MM) UPVC BEND","1-1/2"" X 45 UPVC BEND",LOCAL STOCK,5,19,0.1583,0.59,3,3,6
"GS-15 1-1/2"" ACE C/CRETE NAI","1-1/2"" ACE CONCRETE NAIL",LOCAL STOCK,5,22,0.1833,0.55,3,3,6
CCT415P2,PLATONE HIGH GLOSS T BASE 1L,LOCAL STOCK,5,19,0.1583,0.58,3,3,6
STEEL HOSE CLIP 16-25MM,STEEL HOSE CLIP 16-25MM,LOCAL STOCK,5,21,0.175,0.57,3,3,6
"1""(25MM)  ABS ELBOW","1"" ABS ELBOW",LOCAL STOCK,5,18,0.15,0.6,3,3,6
BTW1-1/4,"BOTTLE TRAP W/WASTE 1-1/4""",LOCAL STOCK,5,23,0.1917,0.45,2,3,6
FMS-BT001-1TPWHT,"BOTTLE TRAP 1-1/2"" 3104 TRUFLO",LOCAL STOCK,5,22,0.1833,0.55,3,3,6
WOODFLOAT3003/,"3/8"" X 4"" WOOD FLOAT",LOCAL STOCK,5,21,0.175,0.48,2,3,6
SP-101 / GH1005/H133,SP101 HARDEX SUPER GLUE,LOCAL STOCK,5,23,0.1917,0.47,2,3,6
"""ZORRO"" BIG KOREA CUTTER BLADE","""ZORRO"" BIG KOREA CUTTER BLADE",LOCAL STOCK,5,20,0.1667,0.52,2,3,6
BCACWW1/2/BTA1/2,"BRASS ADAP W/WASHER 1/2""",LOCAL STOCK,5,24,0.2,0.46,2,3,6
B-BOND 100G ABS SOLVENT GLUE,B-BOND ABS (GLUE) 100G,LOCAL STOCK,5,22,0.1833,0.47,2,3,6
ARTLINE 210 0.6MM RED PEN,ARTLINE 210 RED PEN,LOCAL STOCK,5,25,0.2083,0.48,2,3,6
"4"" X 680 BOSSKU P/BRUSH","4"" X 680 BOSSKU P/BRUSH",LOCAL STOCK,5,21,0.175,0.51,2,3,6
DS-FH325 - PACK,"FH325 #6x1"" S.D.SCREWS",LOCAL STOCK,5,21,0.175,0.54,3,3,6
DS-PH310 - PACK,"PH310 #6x3/8"" S.D.SCREWS",LOCAL STOCK,5,21,0.175,0.54,3,3,6
803323P,323P 4' NYLON BROOM,LOCAL STOCK,5,21,0.175,0.46,2,3,6
41511L8102,1L PLATONE HIGH GLOSS 8102 MATT WHITE,LOCAL STOCK,5,21,0.175,0.57,3,3,6
8032025,2025 NYLON BROOM 4',LOCAL STOCK,5,25,0.2083,0.47,2,3,6
P710050,"2"" X 710 NYLON P/BRUSH",LOCAL STOCK,5,22,0.1833,0.48,2,3,6
P710040,"1.5"" X 710 NYLON P/BRUSH",LOCAL STOCK,5,24,0.2,0.48,2,3,6
VM262-D-WP-CT,VM262 TORCH  LIGHTER,LOCAL STOCK,5,22,0.1833,0.43,2,3,6
"1007-1/2"" LOFT","1/2"" 1007 ALUM HDL B.COCK",LOCAL STOCK,5,21,0.175,0.5,2,3,6
SE039P/PNT3006,RH039 3 PIN TRAVEL ADAP,LOCAL STOCK,5,21,0.175,0.48,2,3,6
TR835N,"2.5"" SYN PAINT BRUSH 750",LOCAL STOCK,5,25,0.2083,0.5,2,3,6
6008100/WOODFLOAT50011,8100 SPONGE W/HDL,LOCAL STOCK,5,24,0.2,0.53,2,3,6
6000371,371 IRON HDL XL DUSTPAN,LOCAL STOCK,5,24,0.2,0.53,2,3,6
"6"" X 6"" PLASTIC GRATING","6"" X 6"" PVC GRATING",LOCAL STOCK,5,20,0.1667,0.57,3,3,6
RAPID R23 STAPLE GUN,RAPID R23 STAPLE GUN,CHINA STOCK,45,5,0.0417,0.2,3,5,5
3.0M INLET HOSE W/JOINT - WHITE,3.0M INLET HOSE W/JOINT,CHINA STOCK,45,5,0.0417,0.2,3,5,5
16CM PUTTY KNIFE,16CM PUTTY KNIFE,CHINA STOCK,45,3,0.025,0.27,4,5,5
"1605-59 10"" H/D CAULKING GUN","10"" H/D CAULKING GUN",CHINA STOCK,45,5,0.0417,0.2,3,5,5
15X60CM WATCH YOUR STEP STICKER BLK/YLW,15X60CM WATCH YOUR STEP STICKER,CHINA STOCK,45,3,0.025,0.27,4,5,5
"RELIANT 14"" CUTTING DISC","RELIANT 14"" CUTTING DISC",CHINA STOCK,45,3,0.025,0.27,4,5,5
300X500X20MM L BRAC WHT,300X500X20MM L BRAC WHT,CHINA STOCK,45,4,0.0333,0.26,3,5,5
GDXG208 MAGNETIC DOOR STOPPER,GDXG208 MAGNETIC DOOR STOPPER,CHINA STOCK,45,3,0.025,0.27,4,5,5
32MM PPR STOP VALVE,32MM PPR STOP VALVE,CHINA STOCK,45,3,0.025,0.27,4,5,5
1-1/2 X 1M FLEXI TRAP,"1-1/2"" X 1M FLEX TRAP GRY",CHINA STOCK,45,5,0.0417,0.2,3,5,5
910102 GOLDLAND JH-A02 SK4 CUTTER BLADE 10PCS,A02 SK4 CUTTER BLADE 10'S,CHINA STOCK,45,5,0.0417,0.2,3,5,5
3IN1 LED LIGHT LASER,3IN1 LED LIGHT LASER,CHINA STOCK,45,5,0.0417,0.2,3,5,5
T-SPANNER 8MM,T-SPANNER 8MM,CHINA STOCK,45,3,0.025,0.27,4,5,5
190X300MM S/S H/D L BRAC,190X300MM S/S H/D L BRAC,CHINA STOCK,45,3,0.025,0.27,4,5,5
GREEN PACK 3.0M PVC WASHER HOSE L GREY,3.0M PVC WASHER HOSE L GREY,CHINA STOCK,45,5,0.0417,0.2,3,5,5
CHKD 2-28D ROTARY HAMMER DRILL,CHKD 2-28 ROTARY HAMMER DRILL,CHINA STOCK,45,5,0.0417,0.2,3,5,5
SPRAYER BOTTLE 1.5L BLUE,PRESSURE SPRAYER 1.5LT,CHINA STOCK,45,5,0.0417,0.2,3,5,5
"14"" SILICONE GUN ORANGE","14"" SILICONE GUN",CHINA STOCK,45,5,0.0417,0.2,3,5,5
SPRAYER BOTTLE 0.8L BLUE,PRESSURE SPRAYER 0.8LT,CHINA STOCK,45,5,0.0417,0.2,3,5,5
DRAIN CLEANER 9MMX3MM,DRAIN CLEANER 9MM X 3M,CHINA STOCK,45,5,0.0417,0.2,3,5,5
3PCS 10MM DRILL CHUCK,3PCS 10MM DRILL CHUCK,CHINA STOCK,45,5,0.0417,0.2,3,5,5
"28"" RUBBER CONE YELLOW W/TOP RING","28"" RUBBER CONE YELLOW W/TOP RING",CHINA STOCK,45,3,0.025,0.27,4,5,5
4 CLAW FLEXIBLE GRABBER 1.6 METER,4 JAW FLEXI GRABBER 1.6M,CHINA STOCK,45,5,0.0417,0.2,3,5,5
27MM MINI BOWL SHOOT NAIL,BOWL SHOOT NAIL 27MM 200's,CHINA STOCK,45,5,0.0417,0.2,3,5,5
4 JAW SDS PAINT MIXER(480MM),4 JAW SDS PAINT MIXER(480MM),CHINA STOCK,45,5,0.0417,0.2,3,5,5
"XINCHI 10"" ADJUSTABLE WRENCH","XINCHI10"" ADJUSTABLE WRENCH",CHINA STOCK,45,5,0.0417,0.2,3,5,5
"PINCER 8"" COMBINATION PLIER","PINCER 8"" COMBINATION PLIER",CHINA STOCK,45,5,0.0417,0.2,3,5,5
HANDHOLD STOP/SLOW TRAFFIC SIGN,HANDHOLD STOP/SLOW TRAFFIC SIGN,CHINA STOCK,45,3,0.025,0.27,4,5,5
BUFFALO SAFETY BOOT W/STEEL 43/9#,BUFFALO S.BOOT W/STEEL 43/9#,CHINA STOCK,45,3,0.025,0.27,4,5,5
DRONCO HACKSAW ORANGE,DRONCO HACKSAW ORANGE,CHINA STOCK,45,5,0.0417,0.2,3,5,5
S012-4 PVC WALL PLUG 8x40MM-GREY,PVC WALL PLUG 8x40MM,CHINA STOCK,45,5,0.0417,0.2,3,5,5
4-20MM HSS STEP DRILL,4-20MM HSS STEP DRILL,CHINA STOCK,45,5,0.0417,0.2,3,5,5
4-32MM HSS STEP DRILL,4-32MM HSS STEP DRILL,CHINA STOCK,45,5,0.0417,0.2,3,5,5
4GAL SIPHON DRUM PUMP,4G SIPHON DRUM PUMP,CHINA STOCK,45,5,0.0417,0.2,3,5,5
"2"" G.I PIPE CLIP","2"" G.I PIPE CLIP",CHINA STOCK,45,3,0.025,0.27,4,5,5
F-424 FLEX FAUCET EXT HOSE,F-424 FLEX FAUCET EXT HOSE,CHINA STOCK,45,5,0.0417,0.2,3,5,5
"5/16""X6'","5/16"" x 6' S.FULL THREAD BAR",CHINA STOCK,45,3,0.025,0.27,4,5,5
MT-03 MOUSE TRAP,MT-03 MOUSE TRAP,CHINA STOCK,45,3,0.025,0.27,4,5,5
50G RUBBER GLOVE RED+YELLOW,HOUSEHOLD RUBBER GLOVE RED+YLW,CHINA STOCK,45,5,0.0417,0.2,3,5,5
051908 JIANGHUA JH-B08 SK4 CUTTER BLADE 20PCS,JH-B08 SK4 CUTTER BLADE 20'S,CHINA STOCK,45,5,0.0417,0.2,3,5,5
HSS4341# 25MM HOLE SAW,25MM HSS HOLE SAW,CHINA STOCK,45,5,0.0417,0.2,3,5,5
S033-2,"S HOOK 2.5"" (21x29x72MM)",CHINA STOCK,45,3,0.025,0.27,4,5,5
"MAKITA DIAMOND CUP WHEEL 4""","M-DIAMOND CUP WHEEL 4""",CHINA STOCK,45,5,0.0417,0.2,3,5,5
60X50X10CM RUBBER KERB RAMP BLK,60X50X10CM KERB RAMP BLK,CHINA STOCK,45,4,0.0333,0.26,3,5,5
MACROLAR 18V CORDLESS DRILL,MACROLAR 18V C/LESS DRILL,CHINA STOCK,45,5,0.0417,0.2,3,5,5
10MM DEEP LONG SOCKET 6POINT BLACK,"1/2"" L/SOCKET 6PT M10 BLK",CHINA STOCK,45,3,0.025,0.27,4,5,5
SAFETY FOLDABLE FLOOR SIGN BOARD STAND,SAFETY FLOOR SIGN STAND,CHINA STOCK,45,4,0.0333,0.26,3,5,5
LY-30026 S/S HAND BIDET,JY LY-30026 S/S HAND BIDET,CHINA STOCK,45,5,0.0417,0.2,3,5,5
END CAP RUBBER SPEED HUMP BLACK 350x160,END ROAD HUMP BLK 350x160,CHINA STOCK,45,4,0.0333,0.26,3,5,5
7x17x10M STEEL BEND WITH COVER,17MMx10M STEEL BEND,CHINA STOCK,45,4,0.0333,0.26,3,5,5
21V DC CHARGER,21V DC CHARGER,CHINA STOCK,45,5,0.0417,0.2,3,5,5
"SCREWDRIVER 5""X5(+)","5""x5MM(+) COLOR S/DRIVER",CHINA STOCK,45,5,0.0417,0.2,3,5,5
JRP 5798AC CYLINDRICAL LOCK,JRP 5798AC CYLINDRICAL LOCK,CHINA STOCK,45,5,0.0417,0.2,3,5,5
ELEGANT DESIGN 190X300MM L BRAC WHT,ELEGANT 190X300MM L BRAC WHT,CHINA STOCK,45,4,0.0333,0.26,3,5,5
WANGLI SOLDER CORE WIRE 1.0MM,SOLDER WIRE 1.0MMx100G,CHINA STOCK,45,5,0.0417,0.2,3,5,5
"SELF LOCKING HASP LOCK 4""","SELF LOCKING HASP LOCK 4""",CHINA STOCK,45,0,0,0.39,5,5,5
"10"" X 12"" L BRAC BLK","10"" X 12"" L BRAC BLK",CHINA STOCK,45,3,0.025,0.27,4,5,5
20MM PPR STOP VALVE,20MM PPR STOP VALVE,CHINA STOCK,45,3,0.025,0.27,4,5,5
2.7MMX30CM TRIMMER LINE SQ,2.7MMX30CM TRIMMER LINE SQ,CHINA STOCK,45,5,0.0417,0.2,3,5,5
LEATHER APRON 110x65CM,LEATHER APRON 110x70CM,CHINA STOCK,45,3,0.025,0.27,4,5,5
SHARK GRIP 5MX50MM A/SLIP TAPE BLK/YLW,ANTI SLIP TAPE BLK/YLW 5MX50MM,CHINA STOCK,45,5,0.0417,0.2,3,5,5
LC-0560/MC-0560,MC0560 SPIN MOP SET(SQ),CHINA STOCK,45,5,0.0417,0.2,3,5,5
9648 QIAN SHUN MOUSE & RAT GLUE PASTES,9648 MOUSE & RAT GLUE PASTES,CHINA STOCK,45,4,0.0333,0.26,3,5,5
"MEIGANG 4""x14"" WALL STRIPPER MG-1004B","4""x14"" WALL SCRAPER MG1004B",CHINA STOCK,45,4,0.0333,0.22,3,4,5
METAL PAPER CLIP 100MM,METAL PAPER CLIP 100MM,LOCAL STOCK,5,9,0.075,0.82,4,4,5
EH-S-W1 1100A,1100A WHEEL SMALL SCREW,LOCAL STOCK,5,13,0.1083,0.68,3,4,5
20CM PUTTY KNIFE,20CM PUTTY KNIFE,CHINA STOCK,45,4,0.0333,0.22,3,4,5
"6"" DIGITAL CALIPER","6"" DIGITAL CALIPER",CHINA STOCK,45,4,0.0333,0.22,3,4,5
SFB12200,"BLK STRETCH FILM 20""",LOCAL STOCK,5,15,0.125,0.69,3,4,5
20MM PN12.5 HDPE PIPE @ 100MTR,20MM PN12.5 HDPE PIPE SIRIM,LOCAL STOCK,5,12,0.1,0.77,3,4,5
SELF-WRINGING BAMBOO FIBER MOP,BAMBOO FIBER MOP,CHINA STOCK,45,4,0.0333,0.22,3,4,5
MAXCO BRASS PADLOCK 40MM,MAXCO BRASS PADLOCK 40MM,CHINA STOCK,45,4,0.0333,0.22,3,4,5
60LB NYLON FISHING LINE,60LB NYLON FISHING LINE,LOCAL STOCK,5,10,0.0833,0.91,4,4,5
EA 161616 NA 6.100M - FT,"2"" ALUM EQUAL ANGLE",LOCAL STOCK,5,10,0.0833,0.91,4,4,5
"20MMX1/2"" PPRMTMA(VS)","20x1/2"" PPR MTA(VS)",CHINA STOCK,45,4,0.0333,0.22,3,4,5
NEW-SUPER-001,SUPER CEILING BRACKET,LOCAL STOCK,5,12,0.1,0.69,3,4,5
"20MMX1/2"" PPRTME(VE)","20MM X 1/2"" PPR M.ELBOW",CHINA STOCK,45,4,0.0333,0.22,3,4,5
10MM PP ROPE,10MM PP ROPE,LOCAL STOCK,5,12,0.1,0.76,3,4,5
EPS 16A 1POLE 6KA MCB,16A/1P 6KA MCB (EPS),LOCAL STOCK,5,10,0.0833,0.75,3,4,5
5.8M PVC GUTTER,5.8M PVC GUTTER,LOCAL STOCK,5,9,0.075,0.82,4,4,5
DY-30023 HAND BIDET,DY-30023 HAND BIDET,CHINA STOCK,45,4,0.0333,0.22,3,4,5
TUNGSRAM 9W E27 LED STICK 6500,9W E27 LED STICK 6500K,LOCAL STOCK,5,9,0.075,0.74,3,4,5
"2.5"" X 3"" L BRACKET 3MM X 20MM","2.5"" X 3"" L BRACKET L07",LOCAL STOCK,5,11,0.0917,0.78,3,4,5
4MM G.I WIRE ROPE,4MM G.I WIRE ROPE,LOCAL STOCK,5,10,0.0833,0.91,4,4,5
4.8MMX400MM BLK CABLE TIE,4.8X400MM BLK CABLE TIE,CHINA STOCK,45,4,0.0333,0.22,3,4,5
2.0M DARK GREY SPRING FLEXIBLE HOSE,2.0M SPRING FLEX/HOSE DARK GRY,CHINA STOCK,45,4,0.0333,0.22,3,4,5
DS-HW625,"HW625 S.D SCREW 12#x1""",CHINA STOCK,45,4,0.0333,0.22,3,4,5
S211-2,KEY TAG 4.3x2.5cm,CHINA STOCK,45,4,0.0333,0.22,3,4,5
12MM LOXA GLASS BIT,12MM LOXA GLASS BIT,LOCAL STOCK,5,16,0.1333,0.66,3,4,5
YS60,60MM SINGLE SIDE CYLINDER,LOCAL STOCK,5,10,0.0833,0.91,4,4,5
PASTORAL 2.0MM HSS TWIST DRILL BIT,2.0MM HSS DRILL BIT,LOCAL STOCK,5,9,0.075,0.74,3,4,5
"4""(100MM) PVC C. O PIPE-FEET","4"" PVC CLASS O PIPE-WWW",LOCAL STOCK,5,10,0.0833,0.91,4,4,5
PBGB01,"1/2"" KC NIPPLE",LOCAL STOCK,5,10,0.0833,0.74,3,4,5
056-10 4MMx10M  WHITE ROPE,92012 4MM X 10M WHITE ROPE,CHINA STOCK,45,4,0.0333,0.22,3,4,5
KJ-878B TOILET SEAT COVER,KJ-878B TOILET SEAT COVER,CHINA STOCK,45,2,0.0167,0.29,4,4,5
"2-1/2"" JRP CONCRETE NAIL","2-1/2"" JRP CONCRETE NAIL",CHINA STOCK,45,4,0.0333,0.22,3,4,5
KIZ 20MM PE COMPACT BALL VALVE,KIZ 20MM PE C.BALL VALVE,LOCAL STOCK,5,12,0.1,0.78,3,4,5
SLOTTED ANGLE PLATE,SLOTED ANGLE PLATE,LOCAL STOCK,5,13,0.1083,0.8,3,4,5
3PCS RUBBER SCRAPER,3PCS RUBBER SCRAPER,CHINA STOCK,45,4,0.0333,0.22,3,4,5
KARL KJ-2003B TOILET SEAT COVER WHITE,2003B SEAT COVER WHT,CHINA STOCK,45,4,0.0333,0.22,3,4,5
"JRP 8#x1-1/4"" DRYWALL SCREW","8#x1-1/4"" DRYWALL SCREW",CHINA STOCK,45,4,0.0333,0.22,3,4,5
"1/2"" X 1"" X 3'","1/2""X1""X3' W/WIRE MESH",LOCAL STOCK,5,10,0.0833,0.91,4,4,5
JCTOP OF7742,JCTOP SAFETY SHOES #42,CHINA STOCK,45,4,0.0333,0.22,3,4,5
"1/2"" POLY NIPPLE","1/2"" POLY NIPPLE",LOCAL STOCK,5,16,0.1333,0.66,3,4,5
PRESTIGE 8W GU10 240V LED 6500,8W GU10 LED BULB 6500K,LOCAL STOCK,5,12,0.1,0.82,4,4,5
"1/2"" DIA","DROP IN ANCHOR 1/2""",CHINA STOCK,45,4,0.0333,0.22,3,4,5
B.COCK H304 STEEL HOE ONLY 2.5LB,B.COCK STEEL HOE ONLY 2.5LB,CHINA STOCK,45,4,0.0333,0.22,3,4,5
2 TON G209 BOLT SCREW PIN BOW SHACKLE,2 TON SCREW SHACKLE,CHINA STOCK,45,4,0.0333,0.22,3,4,5
1.5UF CBB61,1.5UF FAN CONDENSOR CBB61,CHINA STOCK,45,4,0.0333,0.22,3,4,5
PRO-EXCEL T SPANNER 8MM,PRO-EXCEL T-SPANNER 8MM,CHINA STOCK,45,4,0.0333,0.22,3,4,5
30CM X 0.9MM STEEL RULER,"12""/30CM  STEEL RULER",CHINA STOCK,45,4,0.0333,0.22,3,4,5
"YEZEWIN S/S BARREL BOLT 3""","S/S BARREL BOLT 3""",CHINA STOCK,45,4,0.0333,0.22,3,4,5
WR1.5,1.5MM G.I WIRE ROPE,LOCAL STOCK,5,10,0.0833,0.91,4,4,5
"1"" X 1/2"" (25MM X 15MM)","1"" X 1/2"" PVC R/ELBOW",LOCAL STOCK,5,10,0.0833,0.75,3,4,5
S/STEEL HOSE CLIP 27-55MM,S/S HOSE CLIP 33-57MM,CHINA STOCK,45,4,0.0333,0.22,3,4,5
FLOOR MASKING MAT 1.5MMX10MX1.2M,1.5MMX1.2MX10M FLOORGARD MAT GREEN,CHINA STOCK,45,4,0.0333,0.22,3,4,5
HEXINGSHUN S/STEEL 304 HINGES 4x3x2.5,S/STEEL HINGES 4x3x2.5MM,CHINA STOCK,45,4,0.0333,0.22,3,4,5
D30 LED FLOOD LIGHT,D30 LED FLOOD LIGHT,CHINA STOCK,45,2,0.0167,0.29,4,4,5
QS-8607 QIAN SHUN MOUSE & RAT GLUE PASTES,QS-8607 MOUSE & RAT GLUE PASTES,CHINA STOCK,45,4,0.0333,0.22,3,4,5
"3/4"" GI LID COVER","3/4"" GI LID COVER",LOCAL STOCK,5,10,0.0833,0.91,4,4,5
D SHACKLE STAINLESS STEEL 6MM,S/STEEL D-SHACKLE 6MM,CHINA STOCK,45,4,0.0333,0.22,3,4,5
"1-1/4"" PVC CLASS O PIPE(WWW)-F","1-1/4"" PVC CLASS O PIPE",LOCAL STOCK,5,11,0.0917,0.76,3,4,5
HC250CS-C,300KG HD PVC H.TRUCK BLUE,CHINA STOCK,45,4,0.0333,0.22,3,4,5
"3""(80MM) PVC CLASS O PIPE-FEET","3"" PVC CLASS O PIPE-WWW",LOCAL STOCK,5,9,0.075,0.74,3,4,5
HARD ALLOY INDUSTRIAL GRADE CERAMIC GLASS BIT 6MM,6MM M/PURPOSE DRILL BIT,CHINA STOCK,45,4,0.0333,0.22,3,4,5
HAND GRIP S.PAPER HOLDER BIG,H/GRIP S.PAPER HOLDER-BIG,CHINA STOCK,45,4,0.0333,0.22,3,4,5
1701004003,BC WEDGE HOLDER,LOCAL STOCK,5,10,0.0833,0.91,4,4,5
"1""x1""X3'X45' DOMINO PVC WELDED","1"" x 3' PVC COATED NETTING",LOCAL STOCK,5,10,0.0833,0.91,4,4,5
RPH32-P,"1-1/4"" PLATED HANGER",LOCAL STOCK,5,10,0.0833,0.74,3,4,5
GP-632 ACE BRAND,"632 BLK DRYWALL/S #6x1-1/4""",CHINA STOCK,45,4,0.0333,0.22,3,4,5
XR-2023 5PC S/S HOOK,XR-2023 5PC S/S HOOK,CHINA STOCK,45,4,0.0333,0.22,3,4,5
CCT4154B,PLATONE HIGH GLOSS T BASE 5L,LOCAL STOCK,5,15,0.125,0.69,3,4,5
